Source,Target,Type,Id,Label,timeset,Weight
759491,74,Directed,0,,,1
25462,335,Directed,1,,,1
66915,335,Directed,2,,,1
71209,335,Directed,3,,,1
91438,335,Directed,4,,,1
113823,335,Directed,5,,,1
132710,335,Directed,6,,,1
208582,335,Directed,7,,,1
378288,335,Directed,8,,,1
397880,335,Directed,9,,,1
489999,335,Directed,10,,,1
492331,335,Directed,11,,,1
615119,335,Directed,12,,,1
651107,335,Directed,13,,,1
747445,335,Directed,14,,,1
755156,335,Directed,15,,,1
838272,335,Directed,16,,,1
895136,335,Directed,17,,,1
899530,335,Directed,18,,,1
960690,335,Directed,19,,,1
988638,335,Directed,20,,,1
75264,441,Directed,21,,,1
91650,441,Directed,22,,,1
112789,441,Directed,23,,,1
134729,441,Directed,24,,,1
175775,441,Directed,25,,,1
295756,441,Directed,26,,,1
359326,441,Directed,27,,,1
446509,441,Directed,28,,,1
485135,441,Directed,29,,,1
579839,441,Directed,30,,,1
741746,441,Directed,31,,,1
789064,441,Directed,32,,,1
790820,441,Directed,33,,,1
796045,441,Directed,34,,,1
806829,441,Directed,35,,,1
825087,441,Directed,36,,,1
863790,441,Directed,37,,,1
883318,441,Directed,38,,,1
151290,589,Directed,39,,,1
286662,589,Directed,40,,,1
748421,589,Directed,41,,,1
5953,1098,Directed,42,,,1
12654,1098,Directed,43,,,1
59537,1098,Directed,44,,,1
61938,1098,Directed,45,,,1
75264,1098,Directed,46,,,1
81493,1098,Directed,47,,,1
84209,1098,Directed,48,,,1
91650,1098,Directed,49,,,1
130932,1098,Directed,50,,,1
139026,1098,Directed,51,,,1
182598,1098,Directed,52,,,1
187581,1098,Directed,53,,,1
200968,1098,Directed,54,,,1
349157,1098,Directed,55,,,1
354105,1098,Directed,56,,,1
379125,1098,Directed,57,,,1
390390,1098,Directed,58,,,1
446509,1098,Directed,59,,,1
485791,1098,Directed,60,,,1
490004,1098,Directed,61,,,1
503913,1098,Directed,62,,,1
562304,1098,Directed,63,,,1
574772,1098,Directed,64,,,1
