Id,Label,timeset,﻿influencer_id,influencer_name,influencer_main_genre,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,influencer_id,modularity_class
0,,,759491,The Exploited,Pop/Rock,0,0,0,0,,0
1,,,25462,Tricky,Electronic,0,0,0,0,,0
2,,,66915,Bob Dylan,Pop/Rock,0,0,0,0,,0
3,,,71209,Leonard Cohen,Pop/Rock,0,0,0,0,,0
4,,,91438,The Gun Club,Pop/Rock,0,0,0,0,,0
5,,,113823,Chrissie Hynde,Pop/Rock,0,0,0,0,,0
6,,,132710,Crime & the City Solution,Pop/Rock,0,0,0,0,,0
7,,,208582,Lesley Gore,Pop/Rock,0,0,0,0,,0
8,,,378288,Massive Attack,Electronic,0,0,0,0,,0
9,,,397880,Nick Cave,Pop/Rock,0,0,0,0,,0
10,,,489999,The Raincoats,Pop/Rock,0,0,0,0,,0
11,,,492331,Pretenders,Pop/Rock,0,0,0,0,,0
12,,,615119,Tom Waits,Pop/Rock,0,0,0,0,,0
13,,,651107,Marianne Faithfull,Pop/Rock,0,0,0,0,,0
14,,,747445,Patti Smith,Pop/Rock,0,0,0,0,,0
15,,,755156,Sonic Youth,Pop/Rock,0,0,0,0,,0
16,,,838272,Pere Ubu,Pop/Rock,0,0,0,0,,0
17,,,895136,Pixies,Pop/Rock,0,0,0,0,,0
18,,,899530,The Smiths,Pop/Rock,0,0,0,0,,0
19,,,960690,X,Pop/Rock,0,0,0,0,,0
20,,,988638,Captain Beefheart,Pop/Rock,0,0,0,0,,0
21,,,75264,Bad Brains,Pop/Rock,0,0,0,0,,0
22,,,91650,Black Flag,Pop/Rock,0,0,0,0,,0
23,,,112789,Korn,Pop/Rock,0,0,0,0,,0
24,,,134729,Faith No More,Pop/Rock,0,0,0,0,,0
25,,,175775,Eek-A-Mouse,Reggae,0,0,0,0,,0
26,,,295756,Santana,Pop/Rock,0,0,0,0,,0
27,,,359326,Primus,Pop/Rock,0,0,0,0,,0
28,,,446509,Metallica,Pop/Rock,0,0,0,0,,0
29,,,485135,311,Pop/Rock,0,0,0,0,,0
30,,,579839,Suicidal Tendencies,Pop/Rock,0,0,0,0,,0
31,,,741746,Sepultura,Pop/Rock,0,0,0,0,,0
32,,,789064,Extreme,Pop/Rock,0,0,0,0,,0
33,,,790820,Tool,Pop/Rock,0,0,0,0,,0
34,,,796045,Fishbone,Pop/Rock,0,0,0,0,,0
35,,,806829,Jane's Addiction,Pop/Rock,0,0,0,0,,0
36,,,825087,Living Colour,Pop/Rock,0,0,0,0,,0
37,,,863790,Rage Against the Machine,Pop/Rock,0,0,0,0,,0
38,,,883318,Red Hot Chili Peppers,Pop/Rock,0,0,0,0,,0
39,,,151290,B脙漏la Fleck,Jazz,0,0,0,0,,0
40,,,286662,Sam Bush,Country,0,0,0,0,,0
41,,,748421,Trey Anastasio,Pop/Rock,0,0,0,0,,0
42,,,5953,Alice Cooper,Pop/Rock,0,0,0,0,,0
43,,,12654,Spinal Tap,Comedy/Spoken,0,0,0,0,,0
44,,,59537,Blue Cheer,Pop/Rock,0,0,0,0,,0
45,,,61938,Blue 脙鈥搚ster Cult,Pop/Rock,0,0,0,0,,0
46,,,81493,Killing Joke,Pop/Rock,0,0,0,0,,0
47,,,84209,Kiss,Pop/Rock,0,0,0,0,,0
48,,,130932,Crazy Horse,Pop/Rock,0,0,0,0,,0
49,,,139026,Led Zeppelin,Pop/Rock,0,0,0,0,,0
50,,,182598,MC5,Pop/Rock,0,0,0,0,,0
51,,,187581,Funkadelic,R&B;,0,0,0,0,,0
52,,,200968,Gene Simmons,Pop/Rock,0,0,0,0,,0
53,,,349157,Melvins,Pop/Rock,0,0,0,0,,0
54,,,354105,Jimi Hendrix,Pop/Rock,0,0,0,0,,0
55,,,379125,Neil Young,Pop/Rock,0,0,0,0,,0
56,,,390390,Ohio Players,R&B;,0,0,0,0,,0
57,,,485791,Wipers,Pop/Rock,0,0,0,0,,0
58,,,490004,Ramones,Pop/Rock,0,0,0,0,,0
59,,,503913,Mountain,Pop/Rock,0,0,0,0,,0
60,,,562304,The Stooges,Pop/Rock,0,0,0,0,,0
61,,,574772,AC/DC,Pop/Rock,0,0,0,0,,0
62,,,604852,Aerosmith,Pop/Rock,0,0,0,0,,0
63,,,623985,Budgie,Pop/Rock,0,0,0,0,,0
64,,,754032,The Beatles,Pop/Rock,0,0,0,0,,0
65,,,771438,Black Sabbath,Pop/Rock,0,0,0,0,,0
66,,,772567,Iron Butterfly,Pop/Rock,0,0,0,0,,0
67,,,840402,The Velvet Underground,Pop/Rock,0,0,0,0,,0
68,,,8828,Spice Girls,Pop/Rock,0,0,0,0,,0
69,,,81403,Boney M.,Pop/Rock,0,0,0,0,,0
70,,,546214,Gwen Stefani,Pop/Rock,0,0,0,0,,0
71,,,628467,Britney Spears,Pop/Rock,0,0,0,0,,0
72,,,13384,Tanya Tucker,Country,0,0,0,0,,0
73,,,19241,Patty Loveless,Country,0,0,0,0,,0
74,,,65397,Bobbie Gentry,Country,0,0,0,0,,0
75,,,86312,The Judds,Country,0,0,0,0,,0
76,,,99753,Connie Smith,Country,0,0,0,0,,0
77,,,136640,Tammy Wynette,Country,0,0,0,0,,0
78,,,175286,Dolly Parton,Country,0,0,0,0,,0
79,,,210512,Janie Fricke,Country,0,0,0,0,,0
80,,,234325,Loretta Lynn,Country,0,0,0,0,,0
81,,,409954,Ray Price,Country,0,0,0,0,,0
82,,,749175,Skeeter Davis,Country,0,0,0,0,,0
