influencer_id,label,influencer_main_genre
759491,The Exploited,Pop/Rock
25462,Tricky,Electronic
66915,Bob Dylan,Pop/Rock
71209,Leonard Cohen,Pop/Rock
91438,The Gun Club,Pop/Rock
113823,Chrissie Hynde,Pop/Rock
132710,Crime & the City Solution,Pop/Rock
208582,Lesley Gore,Pop/Rock
378288,Massive Attack,Electronic
397880,Nick Cave,Pop/Rock
489999,The Raincoats,Pop/Rock
492331,Pretenders,Pop/Rock
615119,Tom Waits,Pop/Rock
651107,Marianne Faithfull,Pop/Rock
747445,Patti Smith,Pop/Rock
755156,Sonic Youth,Pop/Rock
838272,Pere Ubu,Pop/Rock
895136,Pixies,Pop/Rock
899530,The Smiths,Pop/Rock
960690,X,Pop/Rock
988638,Captain Beefheart,Pop/Rock
75264,Bad Brains,Pop/Rock
91650,Black Flag,Pop/Rock
112789,Korn,Pop/Rock
134729,Faith No More,Pop/Rock
175775,Eek-A-Mouse,Reggae
295756,Santana,Pop/Rock
359326,Primus,Pop/Rock
446509,Metallica,Pop/Rock
485135,311,Pop/Rock
579839,Suicidal Tendencies,Pop/Rock
741746,Sepultura,Pop/Rock
789064,Extreme,Pop/Rock
790820,Tool,Pop/Rock
796045,Fishbone,Pop/Rock
806829,Jane's Addiction,Pop/Rock
825087,Living Colour,Pop/Rock
863790,Rage Against the Machine,Pop/Rock
883318,Red Hot Chili Peppers,Pop/Rock
151290,BÃ©la Fleck,Jazz
286662,Sam Bush,Country
748421,Trey Anastasio,Pop/Rock
5953,Alice Cooper,Pop/Rock
12654,Spinal Tap,Comedy/Spoken
59537,Blue Cheer,Pop/Rock
61938,Blue Ã–yster Cult,Pop/Rock
81493,Killing Joke,Pop/Rock
84209,Kiss,Pop/Rock
130932,Crazy Horse,Pop/Rock
139026,Led Zeppelin,Pop/Rock
182598,MC5,Pop/Rock
187581,Funkadelic,R&B;
200968,Gene Simmons,Pop/Rock
349157,Melvins,Pop/Rock
354105,Jimi Hendrix,Pop/Rock
379125,Neil Young,Pop/Rock
390390,Ohio Players,R&B;
485791,Wipers,Pop/Rock
490004,Ramones,Pop/Rock
503913,Mountain,Pop/Rock
562304,The Stooges,Pop/Rock
574772,AC/DC,Pop/Rock
604852,Aerosmith,Pop/Rock
623985,Budgie,Pop/Rock
754032,The Beatles,Pop/Rock
771438,Black Sabbath,Pop/Rock
772567,Iron Butterfly,Pop/Rock
840402,The Velvet Underground,Pop/Rock
8828,Spice Girls,Pop/Rock
81403,Boney M.,Pop/Rock
546214,Gwen Stefani,Pop/Rock
628467,Britney Spears,Pop/Rock
13384,Tanya Tucker,Country
19241,Patty Loveless,Country
65397,Bobbie Gentry,Country
86312,The Judds,Country
99753,Connie Smith,Country
136640,Tammy Wynette,Country
175286,Dolly Parton,Country
210512,Janie Fricke,Country
234325,Loretta Lynn,Country
409954,Ray Price,Country
749175,Skeeter Davis,Country
804289,Lynn Anderson,Country
50493,Soulfly,Pop/Rock
96977,In Flames,Pop/Rock
97325,Biohazard,Pop/Rock
219966,Vision of Disorder,Pop/Rock
561105,Hatebreed,Pop/Rock
607053,At the Gates,Pop/Rock
1528006,Olivier Messiaen,Classical
559405,Daddy Yankee,Latin
156886,Spyro Gyra,Jazz
112017,Jo Stafford,Vocal
203804,Victor Borge,Comedy/Spoken
588679,Theodore Bikel,Folk
744548,Spike Jones,Comedy/Spoken
38936,Simon & Garfunkel,Pop/Rock
41874,The Beach Boys,Pop/Rock
249175,Les Baxter,Easy Listening
639397,Caetano Veloso,Latin
642542,Burt Bacharach,Pop/Rock
765585,Baden Powell,Latin
781837,AntÃ´nio Carlos Jobim,Latin
785283,JoÃ£o Gilberto,International
792507,Frank Sinatra,Vocal
798543,EdÃº Lobo,Latin
183867,John Cage,Classical
346336,Pink Floyd,Pop/Rock
423829,Miles Davis,Jazz
750519,Terry Riley,Avant-Garde
840102,Jefferson Airplane,Pop/Rock
988440,Grateful Dead,Pop/Rock
133969,Joan Armatrading,Pop/Rock
7689,TLC,R&B;
160690,En Vogue,R&B;
208774,Janet Jackson,R&B;
262255,Mariah Carey,R&B;
319347,R. Kelly,R&B;
376204,Mary J. Blige,R&B;
802302,Chaka Khan,R&B;
820434,Whitney Houston,R&B;
112462,Cream,Pop/Rock
176936,Elmore James,Blues
187478,Eric Clapton,Pop/Rock
192382,Deep Purple,Pop/Rock
240865,Jeff Beck,Pop/Rock
255371,Leslie West,Pop/Rock
489303,The Yardbirds,Pop/Rock
824599,Little Walter,Blues
831381,Robin Trower,Pop/Rock
894465,The Rolling Stones,Pop/Rock
18977,Barry Manilow,Pop/Rock
19297,America,Pop/Rock
297894,Poco,Pop/Rock
517607,Brand New,Pop/Rock
583618,Sunny Day Real Estate,Pop/Rock
626463,Stone Temple Pilots,Pop/Rock
859509,Quicksand,Pop/Rock
101895,Joe,R&B;
239859,Leonard Bernstein,Classical
304458,Jule Styne,Stage & Screen
649950,George Martin,Pop/Rock
691807,Stephen Sondheim,Stage & Screen
178014,U-Roy,Reggae
246768,Derrick Morgan,Reggae
295276,Jimmy Cliff,Reggae
603590,Aswad,Reggae
745584,Steel Pulse,Reggae
790988,Toots & the Maytals,Reggae
819344,Desmond Dekker,Reggae
855773,Prince Jazzbo,Reggae
131627,Creedence Clearwater Revival,Pop/Rock
137580,The Cramps,Pop/Rock
170369,Lynyrd Skynyrd,Pop/Rock
207735,Charlie Feathers,Pop/Rock
240311,Link Wray,Pop/Rock
289177,Sam the Sham & the Pharaohs,Pop/Rock
309458,Screamin' Jay Hawkins,R&B;
332141,Jerry Lee Lewis,Pop/Rock
519637,Brian Setzer,Pop/Rock
578028,Mojo Nixon,Pop/Rock
584923,Dave Edmunds,Pop/Rock
690254,ZZ Top,Pop/Rock
744265,Tony Joe White,Pop/Rock
767068,Keith Richards,Pop/Rock
816890,Johnny Cash,Country
921965,The Ventures,Pop/Rock
923384,Molly Hatchet,Pop/Rock
532957,Cab Calloway,Jazz
805930,Charlie Christian,Jazz
123007,The Dickies,Pop/Rock
490141,The Weirdos,Pop/Rock
42234,Steven Halpern,New Age
536122,George Duke,Jazz
31380,Paula Abdul,Pop/Rock
122754,Cyndi Lauper,Pop/Rock
145443,Fito Olivares,Latin
237205,Madonna,Pop/Rock
661524,Donna Summer,R&B;
664817,Gloria Estefan,Pop/Rock
806336,Los Tigres del Norte,Latin
100160,The Kinks,Pop/Rock
577627,The Who,Pop/Rock
1190,Syreeta,R&B;
74195,Natalie Cole,R&B;
101946,Isaac Hayes,R&B;
134600,D'Angelo,R&B;
164053,Faith Evans,R&B;
165011,Dionne Warwick,R&B;
170770,Erykah Badu,R&B;
279337,Sade,R&B;
290072,Roberta Flack,R&B;
316834,Marvin Gaye,R&B;
361393,Prince,R&B;
